"views","mature","life_time","created_at","updated_at","numeric_id","dead_account","language","affiliate","account_age","log_views","engagement_ratio","is_affiliated","language_group","degree","betweenness","closeness","eigenvector","views_per_lifetime"
7879,1,969,16847,17816,0,0,"EN",1,19954.8050115741,8.97208318285193,8.13106295149639,1,"EN",3,1.73929388852547e-05,0.215657482901194,0.000288070594435015,8.13106295149639
33882,1,2134,15682,17816,15,0,"EN",1,19954.8184953704,10.4306686926617,15.8772258669166,1,"EN",4,0.000339416540459041,0.206849264297098,0.000179425980512106,15.8772258669166
1025,0,1207,16604,17811,25,0,"DE",0,19954.8078240741,6.93342302573071,0.849212924606462,0,"DE",0,0,0.242736604036186,1.73380508558426e-17,0.849212924606462
9528,0,1459,16357,17816,26,0,"EN",1,19954.8106828704,9.16209505934819,6.53050034270048,1,"EN",0,0,0.242736604036186,1.73380508558426e-17,6.53050034270048
2559,0,2066,15726,17792,35,0,"EN",0,19954.8179861111,7.84776253747361,1.23862536302033,0,"EN",0,0,0.242736604036186,1.73380508558426e-17,1.23862536302033
1566,0,523,17292,17815,48,0,"FR",1,19954.7998611111,7.35691824235602,2.9942638623327,1,"FR",2,0,0.228308447535283,0.00125126261777514,2.9942638623327
1958,0,456,17357,17813,76,0,"EN",1,19954.7991087963,7.58018941794454,4.29385964912281,1,"EN",1,0,0.216368147631232,0.000543806663015254,4.29385964912281
2003,0,374,17442,17816,93,0,"EN",0,19954.798125,7.60290046220476,5.35561497326203,0,"EN",0,0,0.242736604036186,1.73380508558426e-17,5.35561497326203
9429,0,1249,16567,17816,102,0,"EN",0,19954.8082523148,9.1516513756275,7.54923939151321,0,"EN",0,0,0.242736604036186,1.73380508558426e-17,7.54923939151321
832,0,2003,15812,17815,176,0,"EN",0,19954.8169907407,6.72503364216684,0.415376934598103,0,"EN",4,1.56240572702111e-05,0.227248666476648,0.00174809963448615,0.415376934598103
934086,1,1412,16404,17816,183,0,"EN",0,19954.8101388889,13.7473248606246,661.533994334278,0,"EN",29,0.00171056568048068,0.279833533894906,0.0196821242651809,661.533994334278
2863112,1,1057,16759,17816,203,0,"EN",0,19954.8060300926,14.8674200523897,2708.71523178808,0,"EN",46,0.00311143373892827,0.278104444887383,0.0245165604500864,2708.71523178808
2435,0,1178,16637,17815,227,0,"EN",1,19954.8074421296,7.79811262882979,2.06706281833616,1,"EN",0,0,0.242736604036186,1.73380508558426e-17,2.06706281833616
1973,0,1798,16001,17799,235,0,"EN",0,19954.8148032407,7.58781721999343,1.09733036707453,0,"EN",0,0,0.242736604036186,1.73380508558426e-17,1.09733036707453
702,0,1912,15894,17806,239,0,"EN",0,19954.8160416667,6.55535689181067,0.367154811715481,0,"EN",4,0.000143038426253519,0.301317352337761,0.0414388539394424,0.367154811715481
59022,0,2316,15498,17814,242,0,"EN",1,19954.820625,10.9856824774322,25.4844559585492,1,"EN",13,6.43832386072228e-05,0.258834987477971,0.014190881987272,25.4844559585492
51209,1,539,17276,17815,255,0,"EN",1,19954.8000462963,10.8436901044566,95.0074211502783,1,"EN",9,0.000369380848366243,0.254387164410411,0.00523319544511748,95.0074211502783
4854942,0,1860,15956,17816,271,0,"KO",0,19954.8153240741,15.3955079191649,2610.18387096774,0,"OTHER",5,4.83902903939504e-05,0.200943328292648,0.000167178784894503,2610.18387096774
297174,0,975,16841,17816,274,0,"JA",0,19954.8050810185,12.6020764698488,304.793846153846,0,"OTHER",0,0,0.242736604036186,1.73380508558426e-17,304.793846153846
3340,1,1779,16037,17816,277,0,"EN",1,19954.8143865741,8.11402544235676,1.87745924676785,1,"EN",1,0,0.261026144707918,0.00721897144815263,1.87745924676785
1985,1,659,17147,17806,278,0,"DE",1,19954.8015393519,7.59387784460512,3.01213960546282,1,"DE",1,0,0.225786875960838,0.00123472420842849,3.01213960546282
2650,0,1049,16767,17816,285,0,"EN",1,19954.8059375,7.88269220628903,2.52621544327931,1,"EN",2,3.39813193902549e-06,0.228917145200984,0.00145968887547859,2.52621544327931
2604,0,2285,15528,17813,308,0,"EN",1,19954.8202777778,7.86518795418747,1.13960612691466,1,"EN",3,2.40966048722582e-05,0.302608035569051,0.0617489177334466,1.13960612691466
801,1,1400,16409,17809,368,0,"EN",1,19954.8100810185,6.68710860786651,0.572142857142857,1,"EN",0,0,0.242736604036186,1.73380508558426e-17,0.572142857142857
526,1,768,17046,17814,369,0,"EN",0,19954.8027083333,6.26720054854136,0.684895833333333,0,"EN",0,0,0.242736604036186,1.73380508558426e-17,0.684895833333333
1252,1,1620,16196,17816,377,0,"EN",0,19954.8125462963,7.13329595489607,0.772839506172839,0,"EN",0,0,0.242736604036186,1.73380508558426e-17,0.772839506172839
2213,1,644,17163,17807,381,0,"EN",1,19954.8013541667,7.70255611326858,3.43633540372671,1,"EN",3,2.48754514879983e-05,0.271660825545171,0.0182835850489723,3.43633540372671
