numeric_id_1,numeric_id_2
6120,43469
7290,35656
7290,92989
7290,131150
7290,9060
7290,131187
7290,28238
7290,1592
89293,61576
89293,142334
89293,124340
89293,165367
89293,147092
89293,142989
89293,2663
89293,41213
89293,78895
89293,15975
89293,157152
89293,2860
89293,89586
89293,103570
89293,147112
89293,93002
89293,157810
89293,97444
89293,46587
89293,31744
89293,32027
89293,5526
89293,58056
89293,158177
89293,142120
89293,148607
89293,115219
154729,47918
154729,166175
154729,32027
154729,6867
154729,155706
154729,120480
4699,120329
4699,39195
4699,92989
4699,25762
4699,138927
4699,29939
4699,58056
4699,114948
4699,160640
4699,120408
4699,94861
4699,6867
4699,48977
4699,41441
4699,79657
4699,145577
4699,1592
126323,147092
126323,66584
109407,27312
139757,42127
41213,28310
41213,12865
41213,154903
42246,52601
42246,10728
42246,85736
42246,153252
42246,62333
42246,85209
42246,115773
163295,123678
134732,94861
134732,53632
134732,71577
134732,165499
134732,100110
134732,77137
134732,58056
94464,126141
94464,119646
162067,91073
162067,122195
162067,165617
14747,45138
14747,123040
14747,38472
14747,119266
14747,132841
14747,29032
74021,157577
74021,13911
74021,45138
74021,159034
74021,123040
74021,1209
74021,117645
74021,85898
74021,117188
74021,37383
74021,112729
74021,29032
74021,71577
74021,94550
74021,127134
74021,1592
74021,90177
74021,4926
74021,148168
74021,29038
74021,81556
74021,132841
74021,93748
113122,112993
113122,147092
113122,99104
113122,149990
19127,64187
45138,120309
45138,112993
45138,157757
45138,42492
45138,132841
45138,46388
45138,117188
45138,85898
45138,119266
45138,123040
45138,29032
45138,112729
93777,147092
93777,117645
93777,87590
93777,71577
93777,16747
93777,1592
93777,132841
93777,19155
93777,4926
162034,108433
84646,87590
29038,147092
29038,44352
29038,142120
29038,66584
140251,142475
140251,88166
140251,14676
140251,26219
140251,118565
140251,67645
140251,66584
140251,32734
140251,16093
140251,37441
140251,49940
140251,62060
140251,77384
140251,50585
140251,87991
140251,55725
140251,39373
140251,156581
149990,120309
149990,165367
149990,23664
149990,117645
149990,114800
149990,126077
149990,2860
149990,163169
149990,83947
149990,127541
149990,160640
149990,35487
149990,53471
45762,145717
45762,161366
45762,142120
45762,160640
45762,135891
45762,71577
45762,27390
45762,148607
45762,154163
1592,52601
1592,157757
1592,142334
1592,120329
1592,3670
1592,92989
1592,43469
1592,123040
1592,153392
1592,97504
1592,138927
1592,142989
1592,74530
1592,85898
1592,29939
1592,134652
1592,131150
1592,20836
1592,78895
1592,5262
1592,119266
1592,17615
1592,103570
1592,112729
1592,142120
1592,43001
1592,135891
1592,87590
1592,82148
1592,71352
1592,29032
1592,66584
1592,63196
1592,1478
1592,48977
1592,39538
1592,112114
1592,52116
1592,110438
1592,167647
1592,147112
1592,23747
1592,24416
1592,85209
1592,54745
1592,9575
1592,6867
1592,93973
1592,77993
1592,133770
1592,63702
1592,106453
1592,2471
1592,78887
1592,23465
97326,58347
97326,126077
97326,124416
97326,93748
63881,87590
63881,151116
77384,162974
77384,73374
77384,57536
77384,66584
77384,164751
77384,78837
77384,87991
77384,129527
77384,50585
77384,96877
116589,106254
116589,102092
116589,53812
116589,167803
116589,46388
116589,60204
116589,135891
116589,68470
116589,85736
116589,23980
116589,111356
116589,89586
116589,95819
116589,127618
116589,126077
116589,136657
116589,127541
116589,147747
116589,5690
116589,53471
116589,87783
116589,122240
116589,4941
116589,18944
116589,129039
116589,32027
116589,58735
116589,88486
116589,144592
116589,46368
116589,17615
116589,145717
116589,117359
116589,94550
39989,122240
39989,51458
39989,78887
121193,24832
148168,165367
148168,147092
148168,2860
148168,85736
148168,129039
148168,134673
134673,167584
134673,135891
134673,61828
134673,7007
134673,112887
134673,43670
7007,167584
7007,120329
7007,165367
7007,2860
7007,61828
7007,145577
7007,93605
7007,58056
61828,167584
61828,43670
167584,161262
167584,54514
167584,135891
167584,85736
167584,37383
73879,152529
78203,142120
135891,162194
135891,61576
135891,142334
135891,23872
135891,124340
135891,165367
135891,110694
135891,40437
135891,136125
135891,157152
135891,2860
135891,67702
135891,104304
135891,52134
135891,129039
135891,131802
135891,92431
135891,93973
135891,85114
135891,37161
135891,167402
135891,120477
135891,53681
135891,156668
135891,12919
135891,167807
135891,124762
135891,51615
135891,126141
135891,112887
135891,117955
135891,42429
135891,167647
135891,117359
135891,168053
135891,156581
135891,58056
135891,134027
135891,93748
135891,157810
135891,122165
137774,111739
137774,21563
137774,167231
137774,132140
137774,11154
137774,168053
29596,79570
29596,96242
29596,100963
29596,54514
29596,93605
29596,167402
29596,165644
102930,142989
102930,86270
102930,77993
102930,85209
102930,70412
102930,71159
102930,106453
40331,156581
40331,117359
40331,160640
54745,162194
54745,147092
54745,95305
54745,156274
54745,117359
54745,32027
54745,141273
54745,160640
54745,156581
54745,122165
100110,102092
100110,97068
100110,114907
100110,53632
100110,100963
100110,136032
100110,145906
100110,93605
100110,156581
100110,163969
77998,162220
77998,160273
77998,38336
77998,12230
77998,106254
77998,142475
77998,78941
77998,96835
77998,4707
77998,77681
77998,167231
77998,167803
77998,106454
77998,23980
77998,144821
77998,87590
77998,53471
71533,18993
71533,120329
71533,13911
71533,142206
71533,51363
71533,2874
71533,149942
71533,85736
71533,82481
71533,131802
71533,21161
71533,102703
71533,156930
71533,93605
71533,43075
71533,27490
71533,115093
71533,33946
71533,165153
71533,117359
71533,19155
71533,123556
71533,90066
71533,156581
87090,75962
87090,27390
168035,56264
162220,21161
162220,87590
162220,61191
162220,161155
162220,5690
162220,46368
162220,117017
162220,78941
162220,112729
162220,132140
162220,142120
162220,27982
162220,151116
147092,61576
147092,142334
147092,39195
147092,124340
147092,92989
147092,165367
147092,103570
147092,157810
147092,85736
147092,37161
147092,95305
147092,41441
147092,115219
147092,9124
147092,51615
147092,19155
147092,112887
147092,147112
147092,56896
147092,97444
147092,24416
147092,2860
147092,145577
147092,58056
147092,157152
147092,21161
147092,142989
147092,89586
147092,155904
147092,46587
147092,66584
147092,117955
147092,32027
147092,57128
147092,165713
147092,156581
147092,65957
147092,151116
154163,147278
154163,142120
154163,128123
154163,167851
77681,53812
77681,51363
77681,167803
77681,46388
77681,59827
77681,144592
77681,17658
77681,12919
102704,58679
102704,79838
102704,93536
102704,124184
102704,141224
102704,73242
102704,63549
40379,121530
62484,48785
62484,41441
62484,44917
163969,142120
163969,114907
93605,157757
93605,142334
93605,92989
93605,86762
93605,165367
93605,53812
93605,97068
93605,2860
93605,85736
93605,66208
93605,17823
93605,43001
93605,57536
93605,4915
93605,117359
93605,151116
93605,32027
93605,145906
93605,156581
93605,115247
103570,61576
103570,142334
103570,124340
103570,165367
103570,142989
103570,38472
103570,15975
103570,157152
103570,2860
103570,89586
103570,115219
103570,47395
103570,134027
103570,147112
103570,46388
103570,63368
103570,157810
103570,97444
103570,127747
103570,46587
103570,32027
103570,148607
103570,74368
103570,58056
102092,117359
9060,37793
9060,35656
9060,141650
9060,147112
9060,39538
148607,162194
148607,47523
148607,58189
148607,128123
148607,63196
148607,160185
148607,58056
148607,137588
61576,160310
61576,6867
61576,92989
61576,86270
61576,58056
61576,157152
61576,89586
61576,90700
61576,142334
61576,46587
61576,114907
61576,115219
61576,124340
61576,2860
61576,46453
61576,142989
61576,129039
61576,32027
61576,147112
61576,43001
61576,157810
61576,97444
61576,165367
61576,102490
61576,75435
61576,82148
61576,145577
142989,142334
142989,124340
142989,92989
142989,87601
142989,165367
142989,58056
142989,32027
142989,157152
142989,46587
142989,89586
142989,43001
142989,10728
142989,157810
142989,97444
142989,2860
142989,147112
142989,115219
142989,78895
142989,94550
39195,58056
39195,8717
39195,128123
39195,156668
39195,66584
39195,142120
39195,28370
115219,142334
115219,124340
115219,77285
115219,157152
115219,89586
115219,147112
115219,157810
115219,97444
115219,32027
115219,58056
147112,35656
147112,52601
147112,142334
147112,124340
147112,92989
147112,43469
147112,165367
147112,29939
147112,15975
147112,157152
147112,106818
147112,2860
147112,89586
147112,82148
147112,46587
147112,141241
147112,126938
147112,157810
147112,97444
147112,32027
147112,58056
147112,52116
124340,142334
124340,92989
124340,58056
124340,32027
124340,157152
124340,89586
124340,118546
124340,157810
124340,97444
124340,165367
124340,75435
124340,46587
124340,82501
124340,82148
124340,2860
124340,15975
97444,142334
97444,92989
97444,165367
97444,157152
97444,2860
97444,89586
97444,82148
97444,12919
97444,46587
97444,137588
97444,58056
97444,80826
97444,157810
97444,32027
97444,156581
97444,141241
100963,96242
100963,85175
100963,167402
89586,36248
89586,142334
89586,157152
89586,2860
89586,58056
89586,32027
89586,61191
89586,46587
89586,157810
75435,142334
75435,2860
75435,58056
92989,9982
92989,35656
92989,155832
92989,142334
92989,5474
92989,93973
92989,119266
92989,20836
92989,28238
92989,48977
92989,2860
92989,154765
92989,86270
92989,58056
92989,54676
92989,71352
92989,32027
92989,29939
92989,120408
92989,78887
92989,160442
92989,101846
92989,64982
92989,165367
92989,82148
92989,80449
92989,17615
92989,78895
128123,45816
128123,147278
128123,46388
128123,142120
128123,94861
128123,160640
128123,134027
128123,88486
128123,150687
128123,58735
