numeric_id_1,numeric_id_2
154729,47918
154729,166175
121193,24832
137774,132140
77998,162220
77998,160273
77998,4707
162220,132140
103570,157152
103570,89586
103570,115219
103570,47395
103570,46388
103570,148607
103570,74368
148607,63196
115219,157152
115219,89586
89586,157152
157152,11349
157152,127993
74368,81186
161366,44194
161366,106213
85898,142016
85898,117703
29962,132140
22597,160273
22597,158252
22597,46388
22597,16093
22597,132140
47416,19434
47416,111971
138527,11349
138527,18960
166175,51458
55725,87991
47918,29042
165680,18960
87991,17607
46388,158252
46388,145500
98052,7759
121539,84138
121539,18960
93854,51915
93854,75962
93854,63196
123641,145264
63196,70412
63196,51915
63196,124646
158252,11349
145500,96119
96119,130329
7094,2874
7094,156930
73981,25914
23571,52807
29042,49917
51915,70412
51915,101846
17823,90186
17823,141273
158851,70552
140141,19362
140141,39968
77053,81720
166356,126407
24984,166846
98741,159214
165797,96695
119539,17529
98540,78968
49884,113908
