views,mature,life_time,created_at,updated_at,numeric_id,dead_account,language,affiliate
2790,1,283,2018-01-02,2018-10-12,432,0,EN,1
13008,1,256,2018-01-29,2018-10-12,497,0,EN,1
5546,0,252,2018-02-02,2018-10-12,512,0,EN,1
11462,1,192,2018-04-03,2018-10-12,588,0,EN,1
26398,0,180,2018-04-15,2018-10-12,656,0,IT,1
3535,1,232,2018-02-20,2018-10-10,754,0,FR,0
361,0,209,2018-03-17,2018-10-12,1152,0,EN,0
1178,1,224,2018-02-27,2018-10-09,1209,0,EN,1
343,1,241,2018-01-06,2018-09-04,1478,0,EN,0
37777,1,244,2018-02-09,2018-10-11,1592,0,EN,1
6345,1,193,2018-04-02,2018-10-12,1643,0,EN,1
1669,0,148,2018-03-28,2018-08-23,1780,0,EN,0
3198,0,222,2018-03-04,2018-10-12,1845,0,EN,1
1090,1,238,2018-02-15,2018-10-11,2005,0,EN,1
4455,1,272,2018-01-13,2018-10-12,2088,0,EN,1
4879,1,209,2018-03-17,2018-10-12,2132,0,DE,0
248428,0,259,2018-01-26,2018-10-12,2139,0,EN,0
1270,1,275,2018-01-09,2018-10-11,2210,0,EN,1
826,0,248,2018-02-01,2018-10-07,2267,0,EN,1
3470,0,264,2018-01-21,2018-10-12,2365,0,EN,1
4168,0,200,2018-03-22,2018-10-08,2471,0,EN,1
2498,0,253,2018-01-16,2018-09-26,2663,0,EN,1
15435,0,243,2018-02-11,2018-10-12,2860,0,EN,1
2205,1,193,2018-04-02,2018-10-12,2874,0,EN,1
491,0,234,2018-02-07,2018-09-29,2939,0,FR,1
378,1,278,2018-01-06,2018-10-11,3002,0,ES,0
1338,1,227,2018-02-26,2018-10-11,3140,0,EN,1
2721,1,198,2018-03-28,2018-10-12,3344,0,IT,1
1801,1,269,2018-01-12,2018-10-08,3617,0,EN,1
1850,0,265,2018-01-20,2018-10-12,3648,0,EN,1
2983,1,244,2018-01-31,2018-10-02,3670,0,EN,1
3689,0,200,2018-03-26,2018-10-12,3831,0,KO,1
2818,1,216,2018-03-10,2018-10-12,3992,0,EN,1
2724,0,212,2018-03-13,2018-10-11,4062,0,EN,1
3804,1,216,2018-03-09,2018-10-11,4167,0,EN,1
29833,1,275,2018-01-10,2018-10-12,4279,0,FR,1
3823,1,225,2018-02-27,2018-10-10,4463,0,EN,1
5360,1,278,2018-01-07,2018-10-12,4500,0,EN,1
527,1,264,2018-01-11,2018-10-02,4549,0,EN,1
6819,0,204,2018-03-22,2018-10-12,4699,0,EN,1
620,1,151,2018-04-18,2018-09-16,4707,0,EN,1
5250,1,249,2018-02-05,2018-10-12,4915,0,EN,1
1993,1,205,2018-03-21,2018-10-12,4926,0,EN,1
7878,1,213,2018-03-13,2018-10-12,4941,0,PT,1
3637,1,238,2018-02-16,2018-10-12,5070,0,EN,1
9941,1,191,2018-04-04,2018-10-12,5081,0,EN,1
8853,1,256,2018-01-29,2018-10-12,5113,0,EN,1
10956,1,265,2018-01-20,2018-10-12,5139,0,EN,1
1504,0,239,2018-02-11,2018-10-08,5181,0,EN,0
3847,1,268,2018-01-17,2018-10-12,5262,0,EN,1
444,0,215,2018-03-10,2018-10-11,5361,0,EN,0
2982,1,266,2018-01-11,2018-10-04,5474,0,EN,1
4552,1,272,2018-01-13,2018-10-12,5526,0,EN,1
1766,1,222,2018-03-03,2018-10-11,5654,0,EN,1
23653368,0,228,2018-02-26,2018-10-12,5690,0,FR,0
2639,0,209,2018-03-01,2018-09-26,5860,0,EN,1
33097,0,280,2018-01-05,2018-10-12,5969,0,EN,1
433,0,176,2018-04-18,2018-10-11,6120,0,EN,0
2849,0,260,2018-01-25,2018-10-12,6241,0,EN,1
5780,0,281,2018-01-04,2018-10-12,6488,0,EN,1
171,1,245,2018-01-20,2018-09-22,6809,0,EN,0
2231,1,266,2018-01-16,2018-10-09,6867,0,EN,1
2386,1,249,2018-01-23,2018-09-29,6907,0,EN,1
3129,1,227,2018-02-12,2018-09-27,7007,0,EN,1
1619,0,177,2018-04-16,2018-10-10,7094,0,EN,0
3517,0,264,2018-01-19,2018-10-10,7250,0,EN,1
1663,1,226,2018-02-28,2018-10-12,7290,0,EN,1
288,1,210,2018-03-12,2018-10-08,7302,0,EN,0
5665,1,157,2018-05-08,2018-10-12,7759,0,EN,1
5528,0,261,2018-01-24,2018-10-12,8018,0,ES,1
4464,0,259,2018-01-26,2018-10-12,8046,0,ES,0
2665,0,238,2018-02-16,2018-10-12,8071,0,FR,1
1170,0,201,2018-02-26,2018-09-15,8241,0,DE,0
899,1,217,2018-03-09,2018-10-12,8348,0,EN,1
5495,1,232,2018-02-21,2018-10-11,8717,0,EN,1
1317,0,257,2018-01-18,2018-10-02,9060,0,EN,1
7912,1,252,2018-02-02,2018-10-12,9124,0,EN,1
12744,1,240,2018-02-14,2018-10-12,9575,0,EN,1
1685,0,272,2018-01-13,2018-10-12,9982,0,EN,1
4463,0,260,2018-01-24,2018-10-11,10147,0,EN,1
3268,1,204,2018-03-21,2018-10-11,10322,0,EN,1
35,1,141,2018-02-25,2018-07-16,10331,0,EN,0
5422,0,193,2018-04-02,2018-10-12,10451,0,FR,1
132403,1,283,2018-01-02,2018-10-12,10528,0,EN,1
1618,1,240,2018-02-14,2018-10-12,10711,0,EN,0
1488,1,246,2018-01-08,2018-09-11,10722,0,EN,1
1312,0,191,2018-03-26,2018-10-03,10728,0,EN,1
1052,0,229,2018-02-24,2018-10-11,11039,0,EN,1
3584,1,261,2018-01-22,2018-10-10,11098,0,EN,1
12207,1,197,2018-03-27,2018-10-10,11154,0,EN,1
2425,1,260,2018-01-25,2018-10-12,11172,0,EN,0
2051,0,256,2018-01-05,2018-09-18,11337,0,EN,1
7603,1,181,2018-04-14,2018-10-12,11349,0,EN,1
1424,0,259,2018-01-26,2018-10-12,11374,0,EN,0
3318,0,220,2018-03-05,2018-10-11,11642,0,EN,1
621,1,190,2018-03-23,2018-09-29,11679,0,EN,1
226,0,187,2018-02-14,2018-08-20,11866,0,EN,0
5032,1,224,2018-03-01,2018-10-11,11980,0,EN,1
1196,1,239,2018-02-07,2018-10-04,12121,0,EN,1
99,0,279,2018-01-05,2018-10-11,12149,0,EN,0
3642,0,260,2018-01-25,2018-10-12,12154,0,EN,1
1710,0,206,2018-03-20,2018-10-12,12212,0,FR,1
2857,0,207,2018-03-19,2018-10-12,12230,0,EN,1
4453,0,214,2018-02-28,2018-09-30,12314,0,EN,1
3816,1,234,2018-02-13,2018-10-05,12329,0,EN,1
1637,0,223,2018-03-02,2018-10-11,12409,0,EN,1
7650,1,229,2018-02-25,2018-10-12,12425,0,ES,1
1480,0,180,2018-02-22,2018-08-21,12613,0,EN,1
2652,1,254,2018-01-31,2018-10-12,12852,0,EN,1
13753,1,267,2018-01-18,2018-10-12,12865,0,EN,1
1314,1,190,2018-02-23,2018-09-01,12888,0,EN,0
14462,1,278,2018-01-06,2018-10-11,12919,0,EN,1
4415,0,226,2018-02-28,2018-10-12,12984,0,EN,1
4927,0,242,2018-02-12,2018-10-12,13303,0,KO,1
2957,1,277,2018-01-08,2018-10-12,13371,0,DE,0
2238,0,250,2018-02-04,2018-10-12,13421,0,EN,1
1382,1,214,2018-03-09,2018-10-09,13546,0,EN,1
297,1,208,2018-03-18,2018-10-12,13608,0,EN,0
2475,1,176,2018-04-17,2018-10-10,13631,0,EN,1
14852,1,207,2018-03-18,2018-10-11,13696,0,EN,1
4036,0,264,2018-01-21,2018-10-12,13911,0,EN,1
1324,1,231,2018-02-21,2018-10-10,13957,0,EN,1
7474,0,242,2018-02-11,2018-10-11,13978,0,EN,1
6096,1,284,2018-01-01,2018-10-12,14607,0,EN,1
277,0,261,2018-01-05,2018-09-23,14676,0,EN,0
22064,0,216,2018-03-10,2018-10-12,14707,0,EN,1
