views,mature,life_time,created_at,updated_at,numeric_id,dead_account,language,affiliate
2205,1,193,2018-04-02,2018-10-12,2874,0,EN,1
620,1,151,2018-04-18,2018-09-16,4707,0,EN,1
1619,0,177,2018-04-16,2018-10-10,7094,0,EN,0
5665,1,157,2018-05-08,2018-10-12,7759,0,EN,1
7603,1,181,2018-04-14,2018-10-12,11349,0,EN,1
352,0,176,2018-04-15,2018-10-08,16093,0,EN,1
15,0,92,2018-04-07,2018-07-08,17529,1,EN,0
1247,0,136,2018-05-01,2018-09-14,17607,0,PT,0
7477,1,174,2018-04-21,2018-10-12,17823,0,EN,1
646,1,167,2018-04-15,2018-09-29,18960,0,EN,1
1156,1,179,2018-04-07,2018-10-03,19362,0,EN,1
1988,1,180,2018-04-06,2018-10-03,19434,0,EN,1
1195,1,184,2018-04-11,2018-10-12,22597,0,EN,1
3688,1,168,2018-04-23,2018-10-08,23571,0,EN,1
5924,1,176,2018-04-19,2018-10-12,24832,0,EN,1
492,1,180,2018-04-02,2018-09-29,24984,0,EN,0
12423,0,173,2018-04-22,2018-10-12,25914,0,FR,0
620,1,114,2018-04-14,2018-08-06,29042,0,EN,0
10746,1,122,2018-04-25,2018-08-25,29962,0,EN,1
1123,0,106,2018-04-17,2018-08-01,39968,0,EN,0
1112,1,173,2018-04-14,2018-10-04,44194,0,EN,1
2965,1,182,2018-04-12,2018-10-11,46388,0,EN,1
5065,1,183,2018-04-12,2018-10-12,47395,0,EN,1
5817,0,188,2018-04-07,2018-10-12,47416,0,EN,1
1913,0,189,2018-04-02,2018-10-08,47918,0,EN,1
5386,0,193,2018-04-02,2018-10-12,49884,0,PT,1
1206,1,186,2018-04-09,2018-10-12,49917,0,EN,1
735,0,148,2018-04-11,2018-09-06,51458,0,EN,0
363,0,151,2018-04-11,2018-09-09,51915,0,EN,1
9647,1,180,2018-04-15,2018-10-12,52807,0,EN,1
242,1,175,2018-04-16,2018-10-08,55725,0,EN,0
6411,1,174,2018-04-21,2018-10-12,63196,0,EN,1
2895,0,180,2018-04-15,2018-10-12,70412,0,EN,1
80194,0,188,2018-04-07,2018-10-12,70552,0,ES,0
1548,0,168,2018-04-27,2018-10-12,73981,0,FR,0
581,0,172,2018-04-13,2018-10-02,74368,0,EN,0
1721,0,184,2018-04-10,2018-10-11,75962,0,EN,1
334,0,183,2018-04-10,2018-10-10,77053,0,EN,0
