views,mature,life_time,created_at,updated_at,numeric_id,dead_account,language,affiliate
2790,1,283,2018-01-02,2018-10-12,1,0,EN,1
13008,1,256,2018-01-29,2018-10-12,2,0,EN,1
5546,0,252,2018-02-02,2018-10-12,3,0,EN,1
11462,1,192,2018-04-03,2018-10-12,4,0,EN,1
26398,0,180,2018-04-15,2018-10-12,5,0,IT,1
3535,1,232,2018-02-20,2018-10-10,6,0,FR,0
361,0,209,2018-03-17,2018-10-12,7,0,EN,0
1178,1,224,2018-02-27,2018-10-09,8,0,EN,1
343,1,241,2018-01-06,2018-09-04,9,0,EN,0
37777,1,244,2018-02-09,2018-10-11,10,0,EN,1
6345,1,193,2018-04-02,2018-10-12,11,0,EN,1
1669,0,148,2018-03-28,2018-08-23,12,0,EN,0
3198,0,222,2018-03-04,2018-10-12,13,0,EN,1
1090,1,238,2018-02-15,2018-10-11,14,0,EN,1
4455,1,272,2018-01-13,2018-10-12,15,0,EN,1
4879,1,209,2018-03-17,2018-10-12,16,0,DE,0
248428,0,259,2018-01-26,2018-10-12,17,0,EN,0
1270,1,275,2018-01-09,2018-10-11,18,0,EN,1
826,0,248,2018-02-01,2018-10-07,19,0,EN,1
3470,0,264,2018-01-21,2018-10-12,20,0,EN,1
4168,0,200,2018-03-22,2018-10-08,21,0,EN,1
2498,0,253,2018-01-16,2018-09-26,22,0,EN,1
15435,0,243,2018-02-11,2018-10-12,23,0,EN,1
2205,1,193,2018-04-02,2018-10-12,24,0,EN,1
491,0,234,2018-02-07,2018-09-29,25,0,FR,1
378,1,278,2018-01-06,2018-10-11,26,0,ES,0
1338,1,227,2018-02-26,2018-10-11,27,0,EN,1
2721,1,198,2018-03-28,2018-10-12,28,0,IT,1
1801,1,269,2018-01-12,2018-10-08,29,0,EN,1
1850,0,265,2018-01-20,2018-10-12,30,0,EN,1
2983,1,244,2018-01-31,2018-10-02,31,0,EN,1
3689,0,200,2018-03-26,2018-10-12,32,0,KO,1
2818,1,216,2018-03-10,2018-10-12,33,0,EN,1
2724,0,212,2018-03-13,2018-10-11,34,0,EN,1
3804,1,216,2018-03-09,2018-10-11,35,0,EN,1
29833,1,275,2018-01-10,2018-10-12,36,0,FR,1
3823,1,225,2018-02-27,2018-10-10,37,0,EN,1
5360,1,278,2018-01-07,2018-10-12,38,0,EN,1
527,1,264,2018-01-11,2018-10-02,39,0,EN,1
6819,0,204,2018-03-22,2018-10-12,40,0,EN,1
620,1,151,2018-04-18,2018-09-16,41,0,EN,1
5250,1,249,2018-02-05,2018-10-12,42,0,EN,1
1993,1,205,2018-03-21,2018-10-12,43,0,EN,1
7878,1,213,2018-03-13,2018-10-12,44,0,PT,1
3637,1,238,2018-02-16,2018-10-12,45,0,EN,1
9941,1,191,2018-04-04,2018-10-12,46,0,EN,1
8853,1,256,2018-01-29,2018-10-12,47,0,EN,1
10956,1,265,2018-01-20,2018-10-12,48,0,EN,1
1504,0,239,2018-02-11,2018-10-08,49,0,EN,0
3847,1,268,2018-01-17,2018-10-12,50,0,EN,1
444,0,215,2018-03-10,2018-10-11,51,0,EN,0
2982,1,266,2018-01-11,2018-10-04,52,0,EN,1
4552,1,272,2018-01-13,2018-10-12,53,0,EN,1
1766,1,222,2018-03-03,2018-10-11,54,0,EN,1
23653368,0,228,2018-02-26,2018-10-12,55,0,FR,0
2639,0,209,2018-03-01,2018-09-26,56,0,EN,1
33097,0,280,2018-01-05,2018-10-12,57,0,EN,1
433,0,176,2018-04-18,2018-10-11,58,0,EN,0
2849,0,260,2018-01-25,2018-10-12,59,0,EN,1
5780,0,281,2018-01-04,2018-10-12,60,0,EN,1
171,1,245,2018-01-20,2018-09-22,61,0,EN,0
2231,1,266,2018-01-16,2018-10-09,62,0,EN,1
2386,1,249,2018-01-23,2018-09-29,63,0,EN,1
3129,1,227,2018-02-12,2018-09-27,64,0,EN,1
1619,0,177,2018-04-16,2018-10-10,65,0,EN,0
3517,0,264,2018-01-19,2018-10-10,66,0,EN,1
1663,1,226,2018-02-28,2018-10-12,67,0,EN,1
288,1,210,2018-03-12,2018-10-08,68,0,EN,0
5665,1,157,2018-05-08,2018-10-12,69,0,EN,1
5528,0,261,2018-01-24,2018-10-12,70,0,ES,1
4464,0,259,2018-01-26,2018-10-12,71,0,ES,0
2665,0,238,2018-02-16,2018-10-12,72,0,FR,1
1170,0,201,2018-02-26,2018-09-15,73,0,DE,0
899,1,217,2018-03-09,2018-10-12,74,0,EN,1
5495,1,232,2018-02-21,2018-10-11,75,0,EN,1
1317,0,257,2018-01-18,2018-10-02,76,0,EN,1
7912,1,252,2018-02-02,2018-10-12,77,0,EN,1
12744,1,240,2018-02-14,2018-10-12,78,0,EN,1
1685,0,272,2018-01-13,2018-10-12,79,0,EN,1
4463,0,260,2018-01-24,2018-10-11,80,0,EN,1
3268,1,204,2018-03-21,2018-10-11,81,0,EN,1
35,1,141,2018-02-25,2018-07-16,82,0,EN,0
5422,0,193,2018-04-02,2018-10-12,83,0,FR,1
132403,1,283,2018-01-02,2018-10-12,84,0,EN,1
1618,1,240,2018-02-14,2018-10-12,85,0,EN,0
1488,1,246,2018-01-08,2018-09-11,86,0,EN,1
1312,0,191,2018-03-26,2018-10-03,87,0,EN,1
1052,0,229,2018-02-24,2018-10-11,88,0,EN,1
3584,1,261,2018-01-22,2018-10-10,89,0,EN,1
12207,1,197,2018-03-27,2018-10-10,90,0,EN,1
2425,1,260,2018-01-25,2018-10-12,91,0,EN,0
2051,0,256,2018-01-05,2018-09-18,92,0,EN,1
7603,1,181,2018-04-14,2018-10-12,93,0,EN,1
1424,0,259,2018-01-26,2018-10-12,94,0,EN,0
3318,0,220,2018-03-05,2018-10-11,95,0,EN,1
621,1,190,2018-03-23,2018-09-29,96,0,EN,1
226,0,187,2018-02-14,2018-08-20,97,0,EN,0
5032,1,224,2018-03-01,2018-10-11,98,0,EN,1
1196,1,239,2018-02-07,2018-10-04,99,0,EN,1
99,0,279,2018-01-05,2018-10-11,100,0,EN,0
3642,0,260,2018-01-25,2018-10-12,101,0,EN,1
1710,0,206,2018-03-20,2018-10-12,102,0,FR,1
2857,0,207,2018-03-19,2018-10-12,103,0,EN,1
4453,0,214,2018-02-28,2018-09-30,104,0,EN,1
3816,1,234,2018-02-13,2018-10-05,105,0,EN,1
1637,0,223,2018-03-02,2018-10-11,106,0,EN,1
7650,1,229,2018-02-25,2018-10-12,107,0,ES,1
1480,0,180,2018-02-22,2018-08-21,108,0,EN,1
2652,1,254,2018-01-31,2018-10-12,109,0,EN,1
13753,1,267,2018-01-18,2018-10-12,110,0,EN,1
1314,1,190,2018-02-23,2018-09-01,111,0,EN,0
14462,1,278,2018-01-06,2018-10-11,112,0,EN,1
4415,0,226,2018-02-28,2018-10-12,113,0,EN,1
4927,0,242,2018-02-12,2018-10-12,114,0,KO,1
2957,1,277,2018-01-08,2018-10-12,115,0,DE,0
2238,0,250,2018-02-04,2018-10-12,116,0,EN,1
1382,1,214,2018-03-09,2018-10-09,117,0,EN,1
297,1,208,2018-03-18,2018-10-12,118,0,EN,0
2475,1,176,2018-04-17,2018-10-10,119,0,EN,1
14852,1,207,2018-03-18,2018-10-11,120,0,EN,1
4036,0,264,2018-01-21,2018-10-12,121,0,EN,1
1324,1,231,2018-02-21,2018-10-10,122,0,EN,1
7474,0,242,2018-02-11,2018-10-11,123,0,EN,1
6096,1,284,2018-01-01,2018-10-12,124,0,EN,1
277,0,261,2018-01-05,2018-09-23,125,0,EN,0
22064,0,216,2018-03-10,2018-10-12,126,0,EN,1
5230,1,272,2018-01-13,2018-10-12,127,0,EN,1
3005,1,199,2018-02-23,2018-09-10,128,0,EN,1
