views,mature,life_time,created_at,updated_at,numeric_id,dead_account,language,affiliate
2205,1,193,2018-04-02,2018-10-12,1,0,EN,1
620,1,151,2018-04-18,2018-09-16,2,0,EN,1
1619,0,177,2018-04-16,2018-10-10,3,0,EN,0
5665,1,157,2018-05-08,2018-10-12,4,0,EN,1
7603,1,181,2018-04-14,2018-10-12,5,0,EN,1
352,0,176,2018-04-15,2018-10-08,6,0,EN,1
15,0,92,2018-04-07,2018-07-08,7,1,EN,0
1247,0,136,2018-05-01,2018-09-14,8,0,PT,0
7477,1,174,2018-04-21,2018-10-12,9,0,EN,1
646,1,167,2018-04-15,2018-09-29,10,0,EN,1
1156,1,179,2018-04-07,2018-10-03,11,0,EN,1
1988,1,180,2018-04-06,2018-10-03,12,0,EN,1
1195,1,184,2018-04-11,2018-10-12,13,0,EN,1
3688,1,168,2018-04-23,2018-10-08,14,0,EN,1
5924,1,176,2018-04-19,2018-10-12,15,0,EN,1
492,1,180,2018-04-02,2018-09-29,16,0,EN,0
12423,0,173,2018-04-22,2018-10-12,17,0,FR,0
620,1,114,2018-04-14,2018-08-06,18,0,EN,0
10746,1,122,2018-04-25,2018-08-25,19,0,EN,1
1123,0,106,2018-04-17,2018-08-01,20,0,EN,0
1112,1,173,2018-04-14,2018-10-04,21,0,EN,1
2965,1,182,2018-04-12,2018-10-11,22,0,EN,1
5065,1,183,2018-04-12,2018-10-12,23,0,EN,1
5817,0,188,2018-04-07,2018-10-12,24,0,EN,1
1913,0,189,2018-04-02,2018-10-08,25,0,EN,1
5386,0,193,2018-04-02,2018-10-12,26,0,PT,1
1206,1,186,2018-04-09,2018-10-12,27,0,EN,1
735,0,148,2018-04-11,2018-09-06,28,0,EN,0
363,0,151,2018-04-11,2018-09-09,29,0,EN,1
9647,1,180,2018-04-15,2018-10-12,30,0,EN,1
242,1,175,2018-04-16,2018-10-08,31,0,EN,0
6411,1,174,2018-04-21,2018-10-12,32,0,EN,1
2895,0,180,2018-04-15,2018-10-12,33,0,EN,1
80194,0,188,2018-04-07,2018-10-12,34,0,ES,0
1548,0,168,2018-04-27,2018-10-12,35,0,FR,0
581,0,172,2018-04-13,2018-10-02,36,0,EN,0
1721,0,184,2018-04-10,2018-10-11,37,0,EN,1
334,0,183,2018-04-10,2018-10-10,38,0,EN,0
2291,0,175,2018-04-20,2018-10-12,39,0,EN,1
650,0,153,2018-05-06,2018-10-06,40,0,EN,1
17945,0,167,2018-04-28,2018-10-12,41,0,EN,1
160,1,185,2018-04-08,2018-10-10,42,0,EN,0
2179,0,175,2018-04-20,2018-10-12,43,0,EN,1
4435,1,164,2018-04-06,2018-09-17,44,0,EN,1
38916,1,194,2018-04-01,2018-10-12,45,0,EN,1
1559,0,185,2018-04-10,2018-10-12,46,0,EN,1
564,0,121,2018-04-15,2018-08-14,47,0,EN,1
32941,0,150,2018-04-23,2018-09-20,48,0,EN,1
2292,0,165,2018-04-10,2018-09-22,49,0,EN,1
6,0,98,2018-05-02,2018-08-08,50,0,EN,0
488,1,188,2018-04-01,2018-10-06,51,0,EN,0
3311,1,181,2018-04-14,2018-10-12,52,0,EN,1
334,0,153,2018-05-01,2018-10-01,53,0,EN,0
2310,0,186,2018-04-09,2018-10-12,54,0,EN,1
4249,1,187,2018-04-02,2018-10-06,55,0,EN,1
13279,1,179,2018-04-16,2018-10-12,56,0,EN,1
5163,0,182,2018-04-12,2018-10-11,57,0,EN,1
4391,0,194,2018-04-01,2018-10-12,58,0,PT,1
17174,1,175,2018-04-20,2018-10-12,59,0,EN,1
76,0,148,2018-05-03,2018-09-28,60,0,EN,0
376,0,188,2018-04-07,2018-10-12,61,0,EN,0
2412,0,169,2018-04-20,2018-10-06,62,0,EN,1
5223,1,181,2018-04-12,2018-10-10,63,0,EN,1
35732,1,158,2018-05-07,2018-10-12,64,0,EN,0
1277,0,177,2018-04-18,2018-10-12,65,0,EN,1
2965,1,184,2018-04-10,2018-10-11,66,0,EN,1
5710,1,162,2018-05-03,2018-10-12,67,0,EN,1
2887,1,194,2018-04-01,2018-10-12,68,0,EN,1
5580,0,172,2018-04-23,2018-10-12,69,0,EN,1
3039,0,158,2018-05-02,2018-10-07,70,0,EN,1
2095,1,175,2018-04-17,2018-10-09,71,0,EN,1
1543,1,186,2018-04-06,2018-10-09,72,0,EN,1
3703,1,181,2018-04-14,2018-10-12,73,0,EN,1
831,1,149,2018-05-02,2018-09-28,74,0,EN,0
323,0,175,2018-04-15,2018-10-07,75,0,EN,0
9448,1,182,2018-04-13,2018-10-12,76,0,EN,1
2356,0,177,2018-04-17,2018-10-11,77,0,EN,1
417,1,120,2018-05-03,2018-08-31,78,0,EN,0
3579,1,178,2018-04-15,2018-10-10,79,0,EN,1
12389,1,172,2018-04-23,2018-10-12,80,0,EN,1
1186,0,189,2018-04-02,2018-10-08,81,0,EN,1
809,0,190,2018-04-04,2018-10-11,82,0,ES,0
2460,1,180,2018-04-01,2018-09-28,83,0,EN,1
4283,1,189,2018-04-06,2018-10-12,84,0,EN,1
586,0,176,2018-04-09,2018-10-02,85,0,ES,0
7446,0,187,2018-04-08,2018-10-12,86,0,EN,1
6424,1,190,2018-04-02,2018-10-09,87,0,EN,1
3,0,74,2018-05-02,2018-07-15,88,0,EN,0
6086,1,191,2018-04-03,2018-10-11,89,0,EN,1
1979,1,186,2018-04-04,2018-10-07,90,0,EN,0
1389,1,153,2018-05-07,2018-10-07,91,0,EN,1
